职位名,公司,薪资,城市,区域,商圈,详细地址,经验,学历,职位标签,福利,岗位描述,HR 名称,HR 职位,活跃时间,职位链接,筛选状态,筛选原因,采集错误
AI Agent开发实习生（可远程）,杭州青远企业服务,240-380元/天,杭州,西湖区,西溪,杭州西湖区浙大网新软件园8235,4天/周 3个月,本科,Python,,"岗位职责：
AI Agent开发与集成： 使用Dify、扣子等工具，设计、构建并优化具备复杂逻辑和工具调⽤能⼒的AI Agent。

岗位要求：
1. 搭建经验： 必须拥有使⽤Dify、扣子、n8n等至少⼀种工具，实际搭建并部署AI Agent或自动化工作流的项目经验。 
2. 编程能力： 熟练掌握Python，具备良好的编程习惯。",黄先生,HR,2周内活跃,https://www.zhipin.com/job_detail/c50d585d5129fbe503152dW4EFdT.html,通过,通过,
python爬虫开发工程师,朱立业,17-21K,杭州,西湖区,西溪,杭州西湖区东部软件园4号楼综合楼文三路90号东部软件园,3-5年,大专,python、爬虫,,"一、任职要求（并不表示部分条件未达到则一定不会聘用）：
1.熟练使用Python标准库和流行的第三方库，精通Python语言；
2.熟悉以下主流服务器端开源系统或者其中一部分：Redis/MongoDB/RabbitMQ/Memcache/Nginx；
3.熟悉JAVA或想转型Python者优先；
4.熟悉RESTful web service规范、熟悉面向对象的设计思想；
5.熟悉mysql的各种存储引擎，熟悉索引工作原理，有丰富的mysql性能优化经验；
6.重视Code Review，知道良好的编程习惯的标准，对代码和设计质量有严格要求；
7.熟悉Tornado/Flask/Gevent/Django等常用开发框架，至少有其中一个的最佳实践或深入研究过其源码及机制；

二、岗位职责
1.开发自动点击谷歌浏览器插件按钮；
2.收集用户信息；",廖先生,创始人,刚刚活跃,https://www.zhipin.com/job_detail/b547878f39669cbb1Hd63Ni4GVtW.html,通过,通过,
python/Matlab开发工程师（全国线上兼职）,西安速启信息技术,1000-1500元/时,杭州,余杭区,仓前,杭州余杭区杭州未来科技城国际人才园302,1-3年,本科,Nginx、C++、C、分布式经验、Hadoop、机器学习经验、Redis、其他、爬虫经验、PyTorch、Pandas、MySQL、MongoDB、架构设计经验、Oracle、Python、Flask、TensorFlow,,"工作周期：长期兼职
每周工期：无要求
工作时间：不限
⼯作时段：不限
结算⽅式：完⼯结
招聘截止时间：2027-12-13
能力要求:
1.精通Matlab/python、机器学习、神经⽹络\深度学习、计算机视觉、自然语言处理(NLP)、大语言模型(LLM)、仿真、复现、算法、建模、数字图像识别、强化学习等其中一项或多项技术
2.愿意用专业的技能与经验帮助他人，个性严谨，为人谦和，细心认真，责任心强，业余时间较多。
3.愿意利用业余碎片化时间赚取丰厚佣金。
4.具备良好的沟通能力和团队合作精神。
工作职责:
1,负责完成甲方的需求。
2,有相关开发经验，有较强的沟通能力和协调能力;
3,会利用chatgpt优先。
4,结算方式，订单做完立即结账!不压款!若客户退款或质量不达标无佣金!
备注:价格根据工作量定价，区间100~20000元左右不等，具体任务根据客户要求有明确定价。非诚勿扰!谢谢合作!",郭伟岐,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/df98390a34729da00nd42t66E1dX.html,通过,通过,
AI数据分析工程师【远程】,北京领创辉煌科技,13-25K,杭州,西湖区,西溪,杭州西湖区东部软件园科技大厦东部软件园科技广场5层,3-5年,本科,,,"远程办公 | 必须熟练使用AI进行数据分析和编程 

职位描述
我们正在寻找一位自驱⼒强、具备国际协作能⼒的AI数据分析⼯程师，加入我们打造全球化短租智能运营平台。你将与海外产品、设计、AI 团队协作，承担关键数据分析模块的工作。

⼯作性质： 全职 / 远程 / 弹性办公
所属部门： 数据与智能分析组

岗位职责

【数据分析与决策支持】
借助对短租市场和OTA平台数据分析，通过对房型、价格、服务等维度的数据对比，分析市场趋势与竞争格局，为公司营销与定价策略提供数据支撑；

结合业务阶段性目标，在核心数据中提炼出可固化、可复用的分析框架；

持续监控关键指标，如出租率，RevPAR，在指标低于平均值或出现波动时，及时定位异常并推动问题解决。

【运营与推广分析】
梳理运营与推广流程，搭建合理的转化漏斗模型，并将各阶段指标进行量化拆解；

当核心指标（如点击率、出租转化率等）出现异常波动时，能够快速通过假设验证、相关性分析等方法定位原因，提出业务改进建议并推动落地；

持续优化推广与转化环节的数据分析体系，为市场投放与销售策略提供科学依据。

【数据分析与报表】
负责数据采集、清洗与处理，构建自动化报表与分析工具；
使用 Python 及 SQL 进行数据建模、统计分析与可视化呈现；
能熟练应用 AI 工具进行数据洞察、动态价格策略制定，以及图像/文字数据处理。

【数据采集与爬虫系统开发】
运用爬虫技术获取行业公开数据，辅助竞争对手分析与市场监测；
负责企业级爬虫系统的设计与实现，基于项目分支模式构建模块化、可扩展的爬虫架构；
熟悉多源出租网站爬取与结构化抽取，包括Airbnb, Booking.com, VRBO网站等；
能处理复杂反爬机制与动态内容加载。

【任职要求】
熟练掌握 SQL，能够独立进行数据提取与复杂查询；
精通 Python 数据分析库（pandas、numpy、matplotlib、seaborn 等）；
熟悉 BI 工具（如 Power BI、Tableau、Metabase 等）并具备报表设计能力；
熟练掌握常见数据分析方法（假设检验、相关分析、回归分析等）；
具备网页爬虫经验，能独立获取与整合行业数据；
对市场分析、价格策略、业务流程优化有较深理解；
良好的逻辑思维与沟通能力，能用数据驱动决策。

【加分项】
有出行、租赁、教育培训或服务类行业数据分析经验；
有动态定价、推荐系统或智能分析项目经验；
具备 AI 大模型、Prompt Engineering 或自动化报表生成经验。

【我们是谁】
我们是一家致力于打造下一代短租智能运营平台的技术驱动型公司，产品面向全球市场，服务于智能客服、运营协同、数据驱动决策等多个场景。

团队主要分布在北美和中国，以技术为核心，注重工程文化和开发效率。公司使用前沿开发工具，并高度重视创新与流程自动化、可维护性与团队协作体验。

【我们提供】
参与智能化数据体系0-1搭建的机会；
自主空间大、可快速成长的岗位；
工作时间包容度高、项目长期稳定， 欢迎热爱技术、追求效率， 有远程工作意向的你加入我们，一起做一些有挑战、有价值的产品。

不接受以下情况：
不接受外包公司或中介形式
仅招收具备直接开发能力的个人工程师（合同/全职均可）",祝霭萱,人力资源总监,近半年活跃,https://www.zhipin.com/job_detail/5b99a0b5e528f9bf031639S9FlNU.html,已过滤,"活跃度过滤: 不活跃, [近半年活跃]",
Python,勇冠睿智,15-30K·14薪,杭州,滨江区,长河,杭州滨江区华为技术有限公司杭州研究所1,经验不限,本科,C++、团队管理经验、C、Django、MySQL、Redis、Tornado、架构设计经验、Oracle、Linux开发/部署经验、Python、Flask,带薪年假、补充医疗保险、节日福利、定期体检、零食下午茶、五险一金,"1、可以接受应届生无经验，但专业必须是理工科类，无延毕情况(毕业证+学位证齐全)，空档⼀年内。应届⽣转码（毕业2年内皆可，但需要是理⼯科类专业，且有1年及以上正式相关工作经验）有老师带教，⼀对一，包上手项目。
2、需要熟悉擅长任意一种编程语言，python, java, c/c++等皆可。年终奖另算，公积金全额。
3、需要咱已毕业，全日制统招本科及以上学历，双证齐全。
（统招本科）（双证齐全）


【面试形式】全程线上面试
主要包含一轮线上的代码笔试和两轮线上的视频技术面试。 
【福利】
入职全额缴纳五险一金 试用期不打折 有班车和食堂 独立办公园区 
【工作时间】
每天早上9点上班，12点-2点午休两个小时；
周一、周二、周四晚上6点吃完饭会工作到8:30下班，会提供免费的夜宵和班车；
周三和周五晚上准时下班；平时周末是双休，月末最后一个周六会上班有加班费。",王苗苗,高级招聘,刚刚活跃,https://www.zhipin.com/job_detail/9ea2ea9c50e12eb70nZ82NS7EFFX.html,通过,通过,
python 开发工程师 岗位代码 PY01,杭州赢云贸易有限公司,15-30K,杭州,余杭区,仓前,杭州余杭区西溪堂3号楼1101,经验不限,本科,Spark、Python、AI Engineering,五险一金、带薪年假、年终奖,"核心底层要求，评估您是否适合：
1. 1-3 年真实 Python 开发经验，有内部业务系统、中后台系统或数据链路相关交付经历
2. 熟悉至少两类真实场景：前台展示、数据抽取、数据运算、Web 后端服务
3. 做过至少⼀类“从零到⼀” 的任务，包括但不限于新接口、新模块、新服务、新流程或新功能落地
4. 现主⼒采用 “⾃然语言式编程 / AI 编程方式”，能通过 Prompt、范式约束和测试闭环让 AI 输出尽可能稳定、确定的结果
5. 具备强目标导向与敏捷交付意识，能接受 24 小时验证上线节奏，并通过自动化测试保障质量
6. 热爱技术，但更关注业务结果和真实交付

公司优势：
1. 跨境电商行业，深耕细分赛道的头部公司，业务稳定增长
2. 自研产品，隶属于公司内部产研团队，非外包性质，发展前景明确
3. 充足的 AI 弹药，提供充足 Token 预算，鼓励把 AI 作为真实生产力系统使用
4. 务实的技术氛围，强调先有后优，优先快速跑通业务验证，不卷无效造轮子
5. AI 原生研发环境，鼓励用 Cursor、Claude Code 等工具提升研发效率
6. 完善的基础设施和业务体系，可支撑 Web 业务系统、数据处理链路和 AI 应用能力接入
 岗位职责：

1. 负责公司内部业务系统（前台展示、数据抽取、数据运算、Web 服务模块）的快速开发、迭代与优化
2. 基于公司统一主栈（FastAPI + PostgreSQL + Redis）完成接口开发、数据处理、业务逻辑实现、权限控制和性能优化
3. 参与需求分析、技术方案设计、接口联调、测试上线和线上问题排查，保障功能稳定交付
4. 参与从零到一的新功能、新模块、新服务、新流程或内部工具落地，推动需求真正上线并产生业务价值
5. 高频使用大模型和 Agent 工具，编写精准 Prompt 与范式约束指令，大幅提升代码生成效率
6. 搭建并完善自动化测试用例，确保 AI 生成代码达到可快速验证、可安全上线的标准
7. 结合具体业务场景接入大模型能力，如 OpenAI Compatible API、RAG、AI 工作流或简单 Agent 流程，并沉淀团队可复用的 AI 编程最佳实践

岗位要求：
1. 计算机相关专业优先，具备 1-3 年 Python 实际开发经验
2.熟练使用 FastAPI 等主流框架，理解前后端分离协作，对业务系统端到端实现有整体认知
3. 熟悉 PostgreSQL、Redis 等常用组件，能够处理常见查询、缓存和数据一致性问题
4. 具备真实业务系统开发经验，熟悉前台展示、数据抽取、数据运算或 Web 后端服务中的至少两类场景
5. 有从零到一的任务经历优先，能够讲清楚自己如何做需求理解、方案拆解、推进上线和结果复盘
6. 高度依赖并善于使用 AI 工具（如 Cursor、Claude Code、Copilot 等），能够清楚说明自己的真实 workflow；面试中可能要求说明近期 Token 使用情况
7. 具备较强的测试驱动意识，能通过单测、自测、联调和回归控制 AI 生成代码的质量风险
8. 熟悉 Linux 常用命令和基本部署流程，了解 Nginx、Docker 优先，了解 Kubernetes 更佳
9. 有大模型业务接入经验 优先，包括但不限于 Prompt 设计、OpenAI Compatible API 调用、RAG、Agent 或工作流编排
10. 沟通顺畅，能深刻理解业务诉求并迅速转化为确定性的技术方案

 福利待遇：
1. 有竞争力的薪资，根据能力匹配，提供调薪空间
2. 广阔的晋升空间，技术 / 管理双通道，发展路径清晰
3. 入职即享五险一金
4. 双休 + 法定节假日，提供带薪年假及额外福利假期
5. 充足 Token 预算和 AI 工具支持，鼓励高效交付和持续沉淀个人 workflow",吴坤洁,财务会计,刚刚活跃,https://www.zhipin.com/job_detail/8fd1fe99faa7135a0nd90tq1EVBZ.html,通过,通过,
Agent架构工程师-可远程办公,某人工智能公司,40-70K·15薪,杭州,,,杭州余杭区阿里巴巴数字生态创新园1,3-5年,本科,Golang、Java、后端开发经验、中大型项目架构设计经验、Node.js、MySQL/Redis/MongoDB、计算机相关专业、Python,年终奖、带薪年假、股票期权、定期体检、团建聚餐、绩效奖金、企业年金、五险一金,"核心职责：
- 领域建模：具备优秀的需求分析、领域建模能力，有实际的 DDD 或其他系统性建模方法的经验。
- 架构设计与实现： 主导和设计可扩展、高性能、稳定的后端系统架构，确保系统的核⼼可⽤性和稳定性。
- ⾼并发处理： 负责处理和优化系统在高并发场景下的性能瓶颈，具备实际线上系统性能优化的成功经验。
- 外部服务集成： 负责管理和集成大规模的内部和外部API及服务，确保⾼效、稳定的数据交互和业务流程打通。
能力要求：
  - 精通至少一种后端编程语言（如 Java, Go, Python, Node.js 等），并深入理解其并发模型和性能优化机制。
  - 深入理解服务器架构、API 设计（RESTful, GraphQL, gRPC）、缓存、消息队列等技术栈。
  - 熟悉云平台（如 AWS, 阿里云）和容器化技术（Kubernetes）者优先。
- 架构经验： 具备设计和实施互联网产品类大型系统架构的实际经验，能够应对复杂的业务场景和技术挑战。
  - 优秀的沟通和协作能力，能够与前端、产品经理等跨职能团队有效合作。
综合能力：
- 有『主动性』、『好奇心』、『爱深度思考』、『极强的学习能力』、『Hands-on 执行力』
  - 有自己的博客和开源项目，是个 Builder & Creator。没有什么比作品、输出和投身一线并取得的成果更有说服力。
  - 持续迭代，对技术充满好奇且热爱，不断实践，干中学。一直在一线解决问题、写方案、编写代码。
  - 有自己的完整思考系统和技术世界观。加分项。
- 多维度的拥抱『AI』，我们期待你能：
  - 在工作、生活中充分使用 AI 能力。在有良好软件设计能力的基础上充分和 AI 协作，高质量的 AI Coding，有创新的 AI 协同工作流。重度使用 Cursor、Claude Code 或相关 AI 产品。
    - 能与 AI 协作。
  - 在基础模型更新、变强后针对性配合 AI 改善自己的工作流。
加分项：
- 有复杂视频工具后端的架构设计经验。
- 设计过 Agent 系统，做过 Context Engineering，有自己的系统化深度思考。做到模型能力提升，系统能力提升。",王惠婷,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/d62f7acb6a7dd93c0nR529--E1pU.html,通过,通过,
Python,青墨科技,50-120元/时,杭州,余杭区,五常,杭州余杭区五常西溪软件园巨蟹座-A座2栋608室,3-5年,本科,爬虫经验、Django、PostgreSQL、MySQL、MongoDB、架构设计经验、Linux开发/部署经验、Python、Flask,,"工作周期：长期兼职
每周工期：3-4天
工作时间：不限
工作时段：不限
结算⽅式：完⼯结
招聘截⽌时间：2027-12-31
岗位职责:
1. 负责Python相关项目的开发与维护。
2. 参与系统设计，确保代码质量和系统稳定性。
3. 依据产品需求，研发相关产品业务。
4. 按照项目需求输出相应技术⽂档。

任职要求：
1. 具备扎实的 Python 编程基础，熟练掌握 Python 常用数据结构、算法及设计模式，能独立完成复杂业务模块的设计与开发。
2. 熟悉 Django、Flask、FastAPI 等至少一种 Python Web 框架，有实际项目开发经验；了解 MySQL、Redis、MongoDB 等主流数据库的使用与优化。
3. 有分布式系统、高并发场景开发经验，或熟悉数据分析、爬虫、AI 相关 Python 库（如 Pandas、Scrapy、TensorFlow 等）实际研发经验。
4. 具有大模型相关研发经验。",曹先生,研发技术总监,今日活跃,https://www.zhipin.com/job_detail/8e74765df37b60bf03x72tu-FlFZ.html,通过,通过,
Python评测,博彦科技,14-22K,杭州,余杭区,西溪,杭州余杭区阿里巴巴西溪C区1,1-3年,本科,Golang、Java、Python,带薪年假、五险一金、免费班车、定期体检、节日福利、年终奖,"核心职责:
1.评测集迁移与适配：深入理解业界主流的AI/Agent评测集，负责将其数据结构、评测逻辑和评估指标，精准地适配并迁移到公司内部的统一评测框架上，解决适配迁移过程中面临的各⾃问题。
2.评测任务执⾏与监控：负责⼤规模评测任务的部署、执行与监控，确保评测过程的稳定性和数据产出的准确性。
3.结果分析与报告：对评测结果进行初步的数据清洗和格式化，为算法团队提供清晰、可靠的性能数据报告，并能定位因适配问题导致的数据异常。

任职要求：
1.教育背景：计算机相关专业，本科及以上学历, 2年以上相关⼯作经验。
2.编程能力：有python开发能力，熟悉JSON、YAML等数据格式，熟悉Linux开发环境，能够使用Shell脚本进行自动化任务。
3.评测能力: 具备处理复杂评测逻辑的能力，理解Judge评测范式，了解Agent的评估指标，不仅限于文本生成质量，还包括对规划能力、工具调用成功率等维度，了解代码类评测基准（如HumanEval, SWE-bench），能够确保评测集迁移准确性。
4.理解与沟通能力：能够快速阅读并理解技术论文和开源项目文档，准确把握评测集的核心逻辑。能够与算法研究员和框架开发工程师进行高效沟通，清晰表达适配过程中遇到的问题和需求。",柴女士,HR,刚刚活跃,https://www.zhipin.com/job_detail/3dfbe6750b5bdf5e0nd-2d-4F1VY.html,通过,通过,
Python后端开发  RCS/WCS相关,某大型专用设备公司,17-30K,杭州,,,杭州滨江区峰达中心单元,5-10年,本科,,免费工装、定期体检、节日福利、五险一金、生日福利,"岗位职责：
1.核心平台开发：深入理解AGV调度业务需求，独立完成相关后端模块的设计、开发与调试，保障系统稳定高效运⾏。
2.设备集成与控制：负责电梯、⾃动门、充电桩等各类⼯业物联网设备的通信协议对接，实现设备的统一接⼊、状态监控与控制。                  
3.接口与系统集成：设计并开发清晰、稳定的RESTful/gRPC API，为前端大屏、客户端应用及WMS/MES/ERP等第三方系统提供可靠的数据服务与业务交互能力。    
4.性能与架构优化：持续优化后端系统性能与数据库设计，确保在高并发场景下的数据处理效率与系统可靠性。                        
5.全流程质量保障：参与系统联调测试，快速定位并解决开发及生产环境中的复杂技术问题，保障系统交付质量与线上稳定。
任职要求：
1.学历本科及以上，具备3年及以上开发经验。    
2.精通Python开发，拥有扎实的编程基础，熟悉Flask、FastAPI等Web框架。    
3.精通MySQL/PostgreSQL，熟悉时序数据库（如InfluxDB）的使用与优化，熟练掌握Redis、Nginx等中间件的配置与性能调优。                                
4.熟悉常见工业协议（如MQTT、Modbus、OPC UA、S7等），具备与自动化设备（充电桩、电梯、自动门等）对接的实践经验。 
5.具备优秀的逻辑思维与问题解决能力，学习与沟通协作能力良好，责任心强，能适应一定的工作压力。           
6.加分项：有agv、机器人、物联网相关经验，掌握docker容器化部署、了解ci/cd流程。",李女士,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/41a2dcfce81c824e0ndz09u7EVNW.html,通过,通过,
杭州 高级量化开发/经理（通达信、Python）,万企用工,20-40K,杭州,西湖区,西溪,杭州西湖区华星时代广场-A座浙江省杭州市西湖区文三路478号(文三路地铁站C口)华星时代广场A座1306室,3-5年,本科,通达信、量化、Pandas、MySQL、股票、Numpy、量化交易开发经验、Python,六险、法定节假日、双休,"公司是自研的公司
公司背景：万国集团人员规模将近1000多人，涉及4s店汽车板块，研发板块，酒业等，厦门万企用⼯，杭州企优卓⼦公司都是万国旗下全资⾃研的研发公司。

&&&（厦门、杭州有招  量化技术总监、量化产品经理、量化开发工程师(前端、后端）、量化研究员专员/高级量化研究员，你要求职哪个岗位呢？如果合适欢迎联系哈！）
【岗位职责】
负责量化交易策略的研发与实现，包括策略设计、模型开发、回测与优化；
基于Python/C++等语⾔开发高性能交易系统，优化算法执行效率与稳定性；
构建和维护数据模型，进行市场数据分析、因子挖掘与风险量化评估；
对接交易所API，实现策略的实盘交易与风控系统对接；
跟踪市场动态，优化交易模型，参与量化策略的迭代升级；
协同研究团队与算法工程师，完成技术文档撰写与系统性能测试。

【任职要求】
学历背景：本科及以上学历，金融工程、数学、统计学、计算机科学等相关专业；
技术技能：
精通Python/C++至少一种编程语言，熟悉Pandas、NumPy等数据处理库；
熟悉量化交易框架（如Quantopian、Zipline等）或低延迟交易系统开发经验者优先；
掌握数据库技术（MySQL、MongoDB等）及Git版本控制工具；
了解机器学习算法在量化交易中的应用（如时间序列分析、回归模型等）；

经验要求：
2年以上量化交易、算法开发或相关领域工作经验；
有实盘交易系统开发经验或高频交易策略开发经验者优先；

能力素质：
具备扎实的数学建模与数据分析能力，逻辑思维严谨；
对金融市场和量化投资有深刻理解，能快速学习新兴量化技术；
抗压能力强，具备良好的团队协作与沟通能力；
其他加分项：熟悉Linux系统开发、持有FRM/CQF证书或国际顶级量化机构工作经验。

以下招聘地址：
厦门：湖里区中骏大厦3座302单元
杭州分公司：浙江省杭州市西湖区文三路478号(文三路地铁站C口)华星时代广场A座1306室",林女士,人事,刚刚活跃,https://www.zhipin.com/job_detail/9f5974d7d50904c60nd82tm4FFBY.html,通过,通过,
远程办公-RPA开发工程师（外企，英文流利）,南京白利度科技,30-35K,杭州,西湖区,西溪,杭州西湖区东部软件园1212,3-5年,本科,,零食下午茶、年终奖、节日福利、股票期权、五险一金、带薪年假,"目标公司影刀（杭州分叉智能）、来也（UiBot）、实在智能、金智维，不要做实施的人 需要是做核⼼组件开发的


1. 项⽬：Computer Use Agent，通过控制电脑终端的⽅式去控制鼠标和键盘，去控制客户的电脑
2. 寻找3年以上经验，英语流利，目前正在做电脑控制，rpa的⼈

岗位职责
1. 设计并构建底层计算机操控系统，包括鼠标/键盘输入注入、屏幕捕获、坐标映射、输入模拟等
2. 基于多种技术路线实现 UI 元素检测与交互，包括 Accessibility API（AXUIElement / UI Automation / AT-SPI）、DOM 解析、视觉定位等
3. 设计跨平台抽象层，支持 agent 在 macOS、Windows、Linux 及不同应用类型（原生应用、浏览器、远程桌面）下统一运作
4. 解决执行可靠性问题：UI 动态变化下的元素定位、窗口遮挡处理、分辨率适配、跨应用焦点管理
5. 构建操作反馈与异常恢复机制，确保 agent 能验证操作结果并在失败时自动恢复
6. 优化操控性能，在保证精度的前提下提升执行速度
7. 与模型团队协作，定义控制层与规划层之间的接口规范
  
任职要求
1. 具备 OS 级输入自动化开发经验，熟悉系统级鼠标/键盘事件注入（如 CGEvent、SendInput、xdotool 等）
2. 深入理解至少一个平台的 Accessibility 框架（macOS AXUIElement / Windows UI Automation / Linux AT-SPI）
3. 有桌面应用 UI 自动化实战经验，处理过元素定位不稳定、时序问题、分辨率差异、跨进程通信等问题
4. 能够跨技术栈工作，从底层系统 API 到上层 Python/TypeScript 编排均可胜任
5. 对系统可靠性有高要求，关注边界情况和异常处理
6. 良好的工程素养，代码质量意识强，具备独立设计和推进技术方案的能力
  
加分项
- 参与过 Playwright、Appium、PyAutoGUI、Hammerspoon 等自动化框架的开发或深度使用
- 了解 Screen Reader 内部实现（VoiceOver / NVDA / JAWS）
- 有远程桌面协议开发经验（RDP / VNC）
- 有 LLM agent、tool use 或 agent 系统相关经验
- 有游戏自动化或反自动化检测相关经验",石女士,高级招聘专家,刚刚活跃,https://www.zhipin.com/job_detail/1873dce7c19d37be0ndz39-8GVFR.html,通过,通过,
